image_id,type,score_qwen7b,score_deplot103,score_matcha020
image_23,bar_chart,1,0,0
image_44,bar_chart,0,0,0
image_100,bar_chart,0,1,0
image_114,bar_chart,0,0,0
image_191,bar_chart,0,1,0
image_231,pie_chart,0,0,0
image_418,pie_chart,0,0,0
image_438,bar_chart,1,1,0
image_449,bar_chart,0,1,0
image_451,bar_chart,0,1,0
image_461,bar_chart,1,1,0
image_464,bar_chart,1,1,0
image_519,bar_chart,1,1,0
image_546,pie_chart,0,0,0
image_554,pie_chart,0,0,0
image_622,bar_chart,1,1,0
image_843,bar_chart,0,1,0
image_924,pie_chart,1,1,0
image_929,pie_chart,1,1,0